Date,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Amount,Fee Currency,Tag
2020-11-12 10:38:49,0.095231,USDC,,,,,
2020-11-12 10:37:44,0.066220,XLM,,,,,
2020-11-12 10:36:34,0.02,USD,,,,,
2020-11-12 05:35:04,,,300.000000,USDC,,,
2020-11-11 10:10:33,0.148132,USDC,,,,,
2020-11-11 10:09:22,0.062425,XLM,,,,,
2020-11-11 10:07:53,0.01,USD,,,,,
2020-11-11 07:14:16,761.370834,USDC,,,,,
2020-11-11 06:30:38,,,1588.846491,DAI,,,
2020-11-11 06:29:55,1588.846491,DAI,1610.19,USD,,,,
2020-11-11 06:28:57,1575.18,USD,0.103735,BTC,,,,
2020-11-10 11:04:24,0.000012,BTC,,,,,
2020-11-10 11:03:45,0.01,USD,,,,,
2020-11-10 02:00:54,0.006716,BTC,105.03,USD,,,,
2020-11-09 16:11:44,35.00,USD,,,,,
2020-11-09 10:07:06,0.000011,BTC,,,,,
2020-11-09 10:06:33,0.01,USD,,,,,
2020-11-08 10:30:36,0.000011,BTC,,,,,
2020-11-08 10:29:57,0.01,USD,,,,,
2020-11-08 09:59:25,35.00,USD,,,,,
2020-11-07 21:00:07,,,9.964894,LINK,,,
2020-11-07 12:06:30,35.00,USD,,,,,
2020-11-07 10:45:35,0.001107,LINK,,,,,
2020-11-07 10:44:56,0.000011,BTC,,,,,
2020-11-06 11:08:23,0.096975,BTC,1535.01,USD,,,,
2020-11-06 11:07:23,1500.00,USD,,,,,
2020-11-06 10:46:58,0.001122,LINK,,,,,
2020-11-06 10:45:26,0.01,USD,,,,,
2020-11-06 09:32:57,35.00,USD,,,,,
2020-11-06 07:10:17,,,0.007109,BTC,,,
2020-11-05 18:25:56,0.002298,BTC,35.00,USD,,,,
2020-11-05 14:15:49,35.00,USD,,,,,
2020-11-05 10:28:03,0.001102,LINK,,,,,
2020-11-05 10:27:24,0.000001,BTC,,,,,
2020-11-05 06:32:14,0.004811,BTC,70.02,USD,,,,
2020-11-05 06:28:28,,,103.591396,DAI,,,
2020-11-04 10:35:54,0.015694,DAI,,,,,
2020-11-04 10:34:55,0.001114,LINK,,,,,
2020-11-04 10:33:21,0.02,USD,,,,,
2020-11-04 09:41:05,35.00,USD,,,,,
2020-11-03 10:27:36,0.015692,DAI,,,,,
2020-11-03 10:26:46,0.001114,LINK,,,,,
2020-11-03 10:25:17,0.01,USD,,,,,
2020-11-03 10:22:39,35.00,USD,,,,,
2020-11-03 09:07:16,9.959335,LINK,105.03,USD,,,,
2020-11-02 10:19:16,0.015391,DAI,,,,,
2020-11-02 10:17:05,0.02,USD,,,,,
2020-11-02 10:10:32,35.00,USD,,,,,
2020-11-01 13:05:31,35.00,USD,,,,,
2020-11-01 10:38:29,0.015905,DAI,,,,,
2020-11-01 10:36:49,0.01,USD,,,,,
2020-10-31 10:39:29,35.00,USD,,,,,
2020-10-31 10:10:07,0.015562,DAI,,,,,
